"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","103581","Extracting Company Details -- @1.3 ","","Sun Nov 10 01:50:40 GMT 2024","passed","Sun Nov 10 01:52:24 GMT 2024","","","",""
"","102984","Extracting Company Details -- @1.1 ","","Sun Nov 10 01:46:35 GMT 2024","passed","Sun Nov 10 01:48:18 GMT 2024","","","",""
"","141965","Extracting Company Details -- @1.2 ","","Sun Nov 10 01:48:18 GMT 2024","passed","Sun Nov 10 01:50:40 GMT 2024","","","",""
