"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","243717","Extracting Company Details -- @1.3 ","","Tue Mar 04 01:56:10 GMT 2025","passed","Tue Mar 04 02:00:14 GMT 2025","","","",""
"","244475","Extracting Company Details -- @1.1 ","","Tue Mar 04 01:47:42 GMT 2025","passed","Tue Mar 04 01:51:47 GMT 2025","","","",""
"","263371","Extracting Company Details -- @1.2 ","","Tue Mar 04 01:51:47 GMT 2025","passed","Tue Mar 04 01:56:10 GMT 2025","","","",""
