"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Nov 06 10:01:20 GMT 2023","Mon Nov 06 10:02:03 GMT 2023","42874","","","","","","Add To Cart -- @1.2 ",""
"passed","Mon Nov 06 10:00:19 GMT 2023","Mon Nov 06 10:01:20 GMT 2023","61358","","","","","","Add To Cart -- @1.1 ",""
