"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","241698","Extracting Company Details -- @1.1 ","","Wed Dec 17 02:01:56 UTC 2025","passed","Wed Dec 17 02:05:57 UTC 2025","","","",""
"","253640","Extracting Company Details -- @1.2 ","","Wed Dec 17 02:05:57 UTC 2025","passed","Wed Dec 17 02:10:11 UTC 2025","","","",""
"","240466","Extracting Company Details -- @1.3 ","","Wed Dec 17 02:10:11 UTC 2025","passed","Wed Dec 17 02:14:11 UTC 2025","","","",""
