"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","104001","Extracting Company Details -- @1.3 ","","Mon Jan 06 01:51:50 GMT 2025","passed","Mon Jan 06 01:53:34 GMT 2025","","","",""
"","145451","Extracting Company Details -- @1.2 ","","Mon Jan 06 01:49:25 GMT 2025","passed","Mon Jan 06 01:51:50 GMT 2025","","","",""
"","100606","Extracting Company Details -- @1.1 ","","Mon Jan 06 01:47:44 GMT 2025","passed","Mon Jan 06 01:49:25 GMT 2025","","","",""
