"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Oct 19 01:41:33 GMT 2024","Sat Oct 19 01:43:16 GMT 2024","102884","","","","","","Extracting Company Details -- @1.1 ",""
"passed","Sat Oct 19 01:45:38 GMT 2024","Sat Oct 19 01:47:21 GMT 2024","102803","","","","","","Extracting Company Details -- @1.3 ",""
"passed","Sat Oct 19 01:43:16 GMT 2024","Sat Oct 19 01:45:38 GMT 2024","142090","","","","","","Extracting Company Details -- @1.2 ",""
