"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 06 01:17:52 GMT 2024","Mon May 06 01:19:51 GMT 2024","118747","","","","","","Extracting Company Details -- @1.1 ",""
"passed","Mon May 06 01:19:51 GMT 2024","Mon May 06 01:22:25 GMT 2024","154502","","","","","","Extracting Company Details -- @1.2 ",""
"passed","Mon May 06 01:22:25 GMT 2024","Mon May 06 01:24:18 GMT 2024","112786","","","","","","Extracting Company Details -- @1.3 ",""
