"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","243889","Extracting Company Details -- @1.3 ","","Fri Mar 07 01:56:31 GMT 2025","passed","Fri Mar 07 02:00:35 GMT 2025","","","",""
"","243286","Extracting Company Details -- @1.2 ","","Fri Mar 07 01:52:27 GMT 2025","passed","Fri Mar 07 01:56:31 GMT 2025","","","",""
"","243944","Extracting Company Details -- @1.1 ","","Fri Mar 07 01:48:23 GMT 2025","passed","Fri Mar 07 01:52:27 GMT 2025","","","",""
