"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","242362","Extracting Company Details -- @1.3 ","","Thu Aug 28 02:01:15 UTC 2025","passed","Thu Aug 28 02:05:17 UTC 2025","","","",""
"","242862","Extracting Company Details -- @1.1 ","","Thu Aug 28 01:53:09 UTC 2025","passed","Thu Aug 28 01:57:12 UTC 2025","","","",""
"","242769","Extracting Company Details -- @1.2 ","","Thu Aug 28 01:57:12 UTC 2025","passed","Thu Aug 28 02:01:15 UTC 2025","","","",""
