"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","241918","Extracting Company Details -- @1.2 ","","Fri Mar 06 02:40:58 UTC 2026","passed","Fri Mar 06 02:45:00 UTC 2026","","","",""
"","243626","Extracting Company Details -- @1.3 ","","Fri Mar 06 02:45:00 UTC 2026","passed","Fri Mar 06 02:49:04 UTC 2026","","","",""
"","242446","Extracting Company Details -- @1.1 ","","Fri Mar 06 02:36:56 UTC 2026","passed","Fri Mar 06 02:40:58 UTC 2026","","","",""
