"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","259558","Extracting Company Details -- @1.2 ","","Sat May 09 03:42:28 UTC 2026","passed","Sat May 09 03:46:47 UTC 2026","","","",""
"","246556","Extracting Company Details -- @1.1 ","","Sat May 09 03:38:21 UTC 2026","passed","Sat May 09 03:42:28 UTC 2026","","","",""
"","247463","Extracting Company Details -- @1.3 ","","Sat May 09 03:46:47 UTC 2026","passed","Sat May 09 03:50:55 UTC 2026","","","",""
