"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","41469","Extracting Company Details -- @1.1 ","","2026-09-26","broken","2026-09-26","","","",""
"","41289","Extracting Company Details -- @1.2 ","","2026-09-26","broken","2026-09-26","","","",""
"","41145","Extracting Company Details -- @1.3 ","","2026-09-26","broken","2026-09-26","","","",""
