"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","106609","Extracting Company Details -- @1.1 ","","Fri Jan 03 01:43:03 GMT 2025","passed","Fri Jan 03 01:44:50 GMT 2025","","","",""
"","102101","Extracting Company Details -- @1.3 ","","Fri Jan 03 01:49:00 GMT 2025","passed","Fri Jan 03 01:50:42 GMT 2025","","","",""
"","249898","Extracting Company Details -- @1.2 ","","Fri Jan 03 01:44:50 GMT 2025","passed","Fri Jan 03 01:49:00 GMT 2025","","","",""
