"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","147043","Extracting Company Details -- @1.2 ","","Wed Nov 20 01:49:04 GMT 2024","passed","Wed Nov 20 01:51:31 GMT 2024","","","",""
"","102011","Extracting Company Details -- @1.3 ","","Wed Nov 20 01:51:31 GMT 2024","passed","Wed Nov 20 01:53:13 GMT 2024","","","",""
"","106886","Extracting Company Details -- @1.1 ","","Wed Nov 20 01:47:17 GMT 2024","passed","Wed Nov 20 01:49:04 GMT 2024","","","",""
