Name,Rating,Address,Review,Long_and_Lat
"AB's - Absolute Barbecues | Marathahalli, Bangalore",4.2,"3rd Floor, 90/4, Marathahalli - Sarjapur Outer Ring Rd, near Park Plaza Hotel, Marathahalli Village, Munnekollal, Bengaluru, Karnataka 560037","(25,303)","12.9613013,77.6896877"
"Dhaba Estd 1986 Delhi, Marathahalli",3.9,"NTR Royal Plaza, 89/1, N Thimmareddy Building, road, Marathahalli Village, Marathahalli, Bengaluru, Karnataka 560037","(5,173)","12.9613013,77.6896877"
Meghana Foods Marathalli,4.1,"Meghana Foods Next ICICI Bank Building, 90/4, Marathahalli - Sarjapur Outer Ring Rd, Kasavanahalli Village, Marathahalli, Bengaluru, Karnataka 560037","(21,264)","12.9613013,77.6896877"
Shahi Kadaai Restaurant,4.4,"Anand Nagar, Sanjay Nagar, Marathahalli, Bengaluru, Karnataka 560037","(1,309)","12.9613013,77.6896877"
Shanmukha Restaurant,3.5,"93/7, CN Reddy Plaza, Near Home Town, Outer Ring Road, Munnekolahu, Marathahalli, Bengaluru, Karnataka 560037","(2,717)","12.9613013,77.6896877"
The Big Barbeque - Bengaluru - Marathahalli,4.2,"88, 2nd Floor, Outer Ring Rd, near More Supermarket, Marathahalli, Bengaluru, Karnataka 560037","(8,237)","12.9613013,77.6896877"
Nagarjuna Restaurant - Marathahalli,4.0,"Mega Store, 88, Outer Ring Rd, next to More, Marathahalli, Bengaluru, Karnataka 560037","(22,169)","12.9613013,77.6896877"
