"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue Dec 19 06:19:48 GMT 2023","Tue Dec 19 06:19:48 GMT 2023","109","","","","","","Google Map Search Bar -- @1.1 ",""
"skipped","Tue Dec 19 06:19:48 GMT 2023","Tue Dec 19 06:19:48 GMT 2023","108","","","","","","Extracting Company Details -- @1.2 ",""
"skipped","Tue Dec 19 06:19:48 GMT 2023","Tue Dec 19 06:19:48 GMT 2023","110","","","","","","Extracting Company Details -- @1.1 ",""
"skipped","Tue Dec 19 06:19:48 GMT 2023","Tue Dec 19 06:19:48 GMT 2023","113","","","","","","Extracting Company Details -- @1.3 ",""
"skipped","Tue Dec 19 06:19:48 GMT 2023","Tue Dec 19 06:19:48 GMT 2023","111","","","","","","Add To Cart -- @1.2 ",""
"skipped","Tue Dec 19 06:19:47 GMT 2023","Tue Dec 19 06:19:48 GMT 2023","231","","","","","","Add To Cart -- @1.1 ",""
"skipped","Tue Dec 19 06:19:48 GMT 2023","Tue Dec 19 06:19:48 GMT 2023","108","","","","","","Google Map Search Bar -- @1.2 ",""
