"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 15 01:20:52 GMT 2024","Mon Jan 15 01:22:09 GMT 2024","76301","","","","","","Extracting Company Details -- @1.1 ",""
"passed","Mon Jan 15 01:24:51 GMT 2024","Mon Jan 15 01:26:06 GMT 2024","75467","","","","","","Extracting Company Details -- @1.3 ",""
"passed","Mon Jan 15 01:22:09 GMT 2024","Mon Jan 15 01:24:51 GMT 2024","162242","","","","","","Extracting Company Details -- @1.2 ",""
