"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","244651","Extracting Company Details -- @1.1 ","","Tue Jul 22 02:11:10 GMT 2025","passed","Tue Jul 22 02:15:14 GMT 2025","","","",""
"","240815","Extracting Company Details -- @1.2 ","","Tue Jul 22 02:15:14 GMT 2025","passed","Tue Jul 22 02:19:15 GMT 2025","","","",""
"","240669","Extracting Company Details -- @1.3 ","","Tue Jul 22 02:19:15 GMT 2025","passed","Tue Jul 22 02:23:16 GMT 2025","","","",""
