"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 22 01:22:02 GMT 2024","Mon Apr 22 01:24:05 GMT 2024","122856","","","","","","Extracting Company Details -- @1.3 ",""
"passed","Mon Apr 22 01:19:16 GMT 2024","Mon Apr 22 01:22:02 GMT 2024","165705","","","","","","Extracting Company Details -- @1.2 ",""
"passed","Mon Apr 22 01:17:08 GMT 2024","Mon Apr 22 01:19:16 GMT 2024","128595","","","","","","Extracting Company Details -- @1.1 ",""
