"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","253646","Extracting Company Details -- @1.2 ","","Tue Feb 11 01:46:29 GMT 2025","passed","Tue Feb 11 01:50:42 GMT 2025","","","",""
"","242076","Extracting Company Details -- @1.1 ","","Tue Feb 11 01:42:27 GMT 2025","passed","Tue Feb 11 01:46:29 GMT 2025","","","",""
"","242247","Extracting Company Details -- @1.3 ","","Tue Feb 11 01:50:42 GMT 2025","passed","Tue Feb 11 01:54:45 GMT 2025","","","",""
