"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 24 01:27:00 GMT 2024","Wed Jul 24 01:29:37 GMT 2024","156506","","","","","","Extracting Company Details -- @1.2 ",""
"passed","Wed Jul 24 01:29:37 GMT 2024","Wed Jul 24 01:31:34 GMT 2024","117303","","","","","","Extracting Company Details -- @1.3 ",""
"passed","Wed Jul 24 01:25:07 GMT 2024","Wed Jul 24 01:27:00 GMT 2024","113357","","","","","","Extracting Company Details -- @1.1 ",""
