"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","241332","Extracting Company Details -- @1.3 ","","Wed Mar 18 02:55:46 UTC 2026","passed","Wed Mar 18 02:59:47 UTC 2026","","","",""
"","242217","Extracting Company Details -- @1.1 ","","Wed Mar 18 02:47:44 UTC 2026","passed","Wed Mar 18 02:51:47 UTC 2026","","","",""
"","239439","Extracting Company Details -- @1.2 ","","Wed Mar 18 02:51:47 UTC 2026","passed","Wed Mar 18 02:55:46 UTC 2026","","","",""
