"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","242559","Extracting Company Details -- @1.1 ","","Thu Dec 25 02:07:18 UTC 2025","passed","Thu Dec 25 02:11:21 UTC 2025","","","",""
"","241171","Extracting Company Details -- @1.3 ","","Thu Dec 25 02:15:34 UTC 2025","passed","Thu Dec 25 02:19:35 UTC 2025","","","",""
"","253409","Extracting Company Details -- @1.2 ","","Thu Dec 25 02:11:21 UTC 2025","passed","Thu Dec 25 02:15:34 UTC 2025","","","",""
