"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","243989","Extracting Company Details -- @1.3 ","","Wed Aug 20 02:05:04 UTC 2025","passed","Wed Aug 20 02:09:08 UTC 2025","","","",""
"","243560","Extracting Company Details -- @1.2 ","","Wed Aug 20 02:01:00 UTC 2025","passed","Wed Aug 20 02:05:04 UTC 2025","","","",""
"","243548","Extracting Company Details -- @1.1 ","","Wed Aug 20 01:56:57 UTC 2025","passed","Wed Aug 20 02:01:00 UTC 2025","","","",""
