"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","239998","Extracting Company Details -- @1.2 ","","Wed May 14 02:02:14 GMT 2025","passed","Wed May 14 02:06:14 GMT 2025","","","",""
"","240558","Extracting Company Details -- @1.1 ","","Wed May 14 01:58:13 GMT 2025","passed","Wed May 14 02:02:14 GMT 2025","","","",""
"","238914","Extracting Company Details -- @1.3 ","","Wed May 14 02:06:14 GMT 2025","passed","Wed May 14 02:10:13 GMT 2025","","","",""
