"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","106541","Extracting Company Details -- @1.1 ","","Mon Nov 25 01:50:32 GMT 2024","passed","Mon Nov 25 01:52:18 GMT 2024","","","",""
"","104171","Extracting Company Details -- @1.3 ","","Mon Nov 25 01:54:42 GMT 2024","passed","Mon Nov 25 01:56:27 GMT 2024","","","",""
"","144404","Extracting Company Details -- @1.2 ","","Mon Nov 25 01:52:18 GMT 2024","passed","Mon Nov 25 01:54:42 GMT 2024","","","",""
