"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","242420","Extracting Company Details -- @1.1 ","","Fri Aug 01 02:30:51 GMT 2025","passed","Fri Aug 01 02:34:53 GMT 2025","","","",""
"","241121","Extracting Company Details -- @1.3 ","","Fri Aug 01 02:39:14 GMT 2025","passed","Fri Aug 01 02:43:15 GMT 2025","","","",""
"","260737","Extracting Company Details -- @1.2 ","","Fri Aug 01 02:34:53 GMT 2025","passed","Fri Aug 01 02:39:14 GMT 2025","","","",""
