"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","107194","Extracting Company Details -- @1.1 ","","Sun Dec 22 01:49:53 GMT 2024","passed","Sun Dec 22 01:51:40 GMT 2024","","","",""
"","103919","Extracting Company Details -- @1.3 ","","Sun Dec 22 01:54:06 GMT 2024","passed","Sun Dec 22 01:55:50 GMT 2024","","","",""
"","145308","Extracting Company Details -- @1.2 ","","Sun Dec 22 01:51:40 GMT 2024","passed","Sun Dec 22 01:54:06 GMT 2024","","","",""
