"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","242086","Extracting Company Details -- @1.3 ","","Thu Oct 09 01:58:13 UTC 2025","passed","Thu Oct 09 02:02:15 UTC 2025","","","",""
"","254351","Extracting Company Details -- @1.2 ","","Thu Oct 09 01:53:58 UTC 2025","passed","Thu Oct 09 01:58:13 UTC 2025","","","",""
"","243754","Extracting Company Details -- @1.1 ","","Thu Oct 09 01:49:54 UTC 2025","passed","Thu Oct 09 01:53:58 UTC 2025","","","",""
