"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 12 01:37:52 GMT 2024","Thu Sep 12 01:39:50 GMT 2024","118178","","","","","","Extracting Company Details -- @1.1 ",""
"passed","Thu Sep 12 01:39:50 GMT 2024","Thu Sep 12 01:42:36 GMT 2024","165294","","","","","","Extracting Company Details -- @1.2 ",""
"passed","Thu Sep 12 01:42:36 GMT 2024","Thu Sep 12 01:44:33 GMT 2024","117719","","","","","","Extracting Company Details -- @1.3 ",""
