"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","247070","Extracting Company Details -- @1.1 ","","Mon Sep 15 01:57:09 UTC 2025","passed","Mon Sep 15 02:01:16 UTC 2025","","","",""
"","240847","Extracting Company Details -- @1.2 ","","Mon Sep 15 02:01:16 UTC 2025","passed","Mon Sep 15 02:05:17 UTC 2025","","","",""
"","245756","Extracting Company Details -- @1.3 ","","Mon Sep 15 02:05:17 UTC 2025","passed","Mon Sep 15 02:09:23 UTC 2025","","","",""
