"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","247136","Extracting Company Details -- @1.1 ","","Mon Apr 13 03:34:54 UTC 2026","passed","Mon Apr 13 03:39:01 UTC 2026","","","",""
"","242242","Extracting Company Details -- @1.3 ","","Mon Apr 13 03:43:19 UTC 2026","passed","Mon Apr 13 03:47:21 UTC 2026","","","",""
"","258034","Extracting Company Details -- @1.2 ","","Mon Apr 13 03:39:01 UTC 2026","passed","Mon Apr 13 03:43:19 UTC 2026","","","",""
