"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","253648","Extracting Company Details -- @1.2 ","","Fri Oct 31 02:00:59 UTC 2025","passed","Fri Oct 31 02:05:13 UTC 2025","","","",""
"","241823","Extracting Company Details -- @1.3 ","","Fri Oct 31 02:05:13 UTC 2025","passed","Fri Oct 31 02:09:15 UTC 2025","","","",""
"","242838","Extracting Company Details -- @1.1 ","","Fri Oct 31 01:56:56 UTC 2025","passed","Fri Oct 31 02:00:59 UTC 2025","","","",""
