"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","242654","Extracting Company Details -- @1.3 ","","Tue Oct 28 02:02:23 UTC 2025","passed","Tue Oct 28 02:06:25 UTC 2025","","","",""
"","263048","Extracting Company Details -- @1.2 ","","Tue Oct 28 01:58:00 UTC 2025","passed","Tue Oct 28 02:02:23 UTC 2025","","","",""
"","243268","Extracting Company Details -- @1.1 ","","Tue Oct 28 01:53:56 UTC 2025","passed","Tue Oct 28 01:58:00 UTC 2025","","","",""
