"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","241581","Extracting Company Details -- @1.2 ","","Mon Feb 24 01:50:49 GMT 2025","passed","Mon Feb 24 01:54:50 GMT 2025","","","",""
"","241721","Extracting Company Details -- @1.3 ","","Mon Feb 24 01:54:50 GMT 2025","passed","Mon Feb 24 01:58:52 GMT 2025","","","",""
"","244098","Extracting Company Details -- @1.1 ","","Mon Feb 24 01:46:45 GMT 2025","passed","Mon Feb 24 01:50:49 GMT 2025","","","",""
