"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","102573","Extracting Company Details -- @1.3 ","","Wed Nov 06 01:45:15 GMT 2024","passed","Wed Nov 06 01:46:58 GMT 2024","","","",""
"","148132","Extracting Company Details -- @1.2 ","","Wed Nov 06 01:42:47 GMT 2024","passed","Wed Nov 06 01:45:15 GMT 2024","","","",""
"","104389","Extracting Company Details -- @1.1 ","","Wed Nov 06 01:41:03 GMT 2024","passed","Wed Nov 06 01:42:47 GMT 2024","","","",""
