"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","241609","Extracting Company Details -- @1.1 ","","Sat Jun 07 01:59:33 GMT 2025","passed","Sat Jun 07 02:03:34 GMT 2025","","","",""
"","241076","Extracting Company Details -- @1.2 ","","Sat Jun 07 02:03:34 GMT 2025","passed","Sat Jun 07 02:07:35 GMT 2025","","","",""
"","241514","Extracting Company Details -- @1.3 ","","Sat Jun 07 02:07:35 GMT 2025","passed","Sat Jun 07 02:11:37 GMT 2025","","","",""
