"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","241714","Extracting Company Details -- @1.1 ","","Sat Apr 18 02:56:55 UTC 2026","passed","Sat Apr 18 03:00:57 UTC 2026","","","",""
"","240198","Extracting Company Details -- @1.3 ","","Sat Apr 18 03:05:09 UTC 2026","passed","Sat Apr 18 03:09:09 UTC 2026","","","",""
"","252292","Extracting Company Details -- @1.2 ","","Sat Apr 18 03:00:57 UTC 2026","passed","Sat Apr 18 03:05:09 UTC 2026","","","",""
