"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","100799","Extracting Company Details -- @1.1 ","","Tue Jan 07 01:44:18 GMT 2025","passed","Tue Jan 07 01:45:59 GMT 2025","","","",""
"","146270","Extracting Company Details -- @1.2 ","","Tue Jan 07 01:45:59 GMT 2025","passed","Tue Jan 07 01:48:25 GMT 2025","","","",""
"","104294","Extracting Company Details -- @1.3 ","","Tue Jan 07 01:48:25 GMT 2025","passed","Tue Jan 07 01:50:10 GMT 2025","","","",""
