"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","263547","Extracting Company Details -- @1.1 ","","Mon Jul 28 02:24:00 GMT 2025","passed","Mon Jul 28 02:28:23 GMT 2025","","","",""
"","254100","Extracting Company Details -- @1.2 ","","Mon Jul 28 02:28:23 GMT 2025","passed","Mon Jul 28 02:32:37 GMT 2025","","","",""
"","242127","Extracting Company Details -- @1.3 ","","Mon Jul 28 02:32:37 GMT 2025","passed","Mon Jul 28 02:36:39 GMT 2025","","","",""
