"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","245424","Extracting Company Details -- @1.3 ","","Thu Apr 24 02:03:23 GMT 2025","passed","Thu Apr 24 02:07:29 GMT 2025","","","",""
"","241258","Extracting Company Details -- @1.2 ","","Thu Apr 24 01:59:22 GMT 2025","passed","Thu Apr 24 02:03:23 GMT 2025","","","",""
"","243197","Extracting Company Details -- @1.1 ","","Thu Apr 24 01:55:19 GMT 2025","passed","Thu Apr 24 01:59:22 GMT 2025","","","",""
