"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","240932","Extracting Company Details -- @1.3 ","","Wed Jun 18 02:10:59 GMT 2025","passed","Wed Jun 18 02:14:59 GMT 2025","","","",""
"","242811","Extracting Company Details -- @1.2 ","","Wed Jun 18 02:06:56 GMT 2025","passed","Wed Jun 18 02:10:59 GMT 2025","","","",""
"","243432","Extracting Company Details -- @1.1 ","","Wed Jun 18 02:02:52 GMT 2025","passed","Wed Jun 18 02:06:56 GMT 2025","","","",""
