"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 13 01:34:45 GMT 2024","Tue Aug 13 01:36:41 GMT 2024","116212","","","","","","Extracting Company Details -- @1.1 ",""
"passed","Tue Aug 13 01:39:24 GMT 2024","Tue Aug 13 01:41:21 GMT 2024","116520","","","","","","Extracting Company Details -- @1.3 ",""
"passed","Tue Aug 13 01:36:41 GMT 2024","Tue Aug 13 01:39:24 GMT 2024","162818","","","","","","Extracting Company Details -- @1.2 ",""
