"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","245389","Extracting Company Details -- @1.1 ","","Wed Nov 26 02:00:55 UTC 2025","passed","Wed Nov 26 02:05:00 UTC 2025","","","",""
"","264276","Extracting Company Details -- @1.3 ","","Wed Nov 26 02:09:18 UTC 2025","passed","Wed Nov 26 02:13:43 UTC 2025","","","",""
"","257983","Extracting Company Details -- @1.2 ","","Wed Nov 26 02:05:00 UTC 2025","passed","Wed Nov 26 02:09:18 UTC 2025","","","",""
