"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","245866","Extracting Company Details -- @1.1 ","","Sun Dec 21 02:16:04 UTC 2025","passed","Sun Dec 21 02:20:10 UTC 2025","","","",""
"","264416","Extracting Company Details -- @1.2 ","","Sun Dec 21 02:20:10 UTC 2025","passed","Sun Dec 21 02:24:35 UTC 2025","","","",""
"","244581","Extracting Company Details -- @1.3 ","","Sun Dec 21 02:24:35 UTC 2025","passed","Sun Dec 21 02:28:39 UTC 2025","","","",""
